Antonín Dvořák | Symphony No.9, Op.95 | "" → "From the New World, Do Novo Mundo, New World Symphony" | Op.95 ; B.178 | title: "Symphony No.9" + opus: "Op.95"
Antonio Vivaldi | LA PRIMAVERA (THE FOUR SEASONS) | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | F.I:22-25 | title: "The Four Seasons"
Franz Schubert | Ave Maria, D.839 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.839 ; Op.52 No.6 | title: "Ave Maria" + opus: "Op.52"
Franz Schubert | Ave Maria, Schubert's with Liszt's piano added | "" → "Schubert Ave Maria, Ave Maria de Schubert" | S.558 ; LW.A42 | title: "Ave Maria"
Georges Bizet | Carmen | "" → "Opera, Ópera, L'amour est un oiseau rebelle, Canção do Toureiro" | GB 9 ; WD 31 | title: "Carmen" + catalog: "WD 31"
Georges Bizet | Carmen Suite No.1 | "" → "Opera, Ópera, L'amour est un oiseau rebelle, Canção do Toureiro" | N/A | title: "Carmen"
Georges Bizet | Carmen Suite No.2 | "" → "Opera, Ópera, L'amour est un oiseau rebelle, Canção do Toureiro" | N/A | title: "Carmen"
Georges Bizet | Les Toréadors from Carmen | "" → "Opera, Ópera, L'amour est un oiseau rebelle, Canção do Toureiro" | N/A | title: "Carmen"
Ludwig van Beethoven | 11 Bagatelles, Op.119 | "" → "Bagatelle, Para Elisa, Für Elise" | Op.119 | title: "Bagatelle"
Ludwig van Beethoven | 6 Bagatelles, Op.126 | "" → "Bagatelle, Para Elisa, Für Elise" | Op.126 | title: "Bagatelle"
Ludwig van Beethoven | 7 Bagatelles, Op.33 | "" → "Bagatelle, Para Elisa, Für Elise" | Op.33 | title: "Bagatelle"
Ludwig van Beethoven | Bagatelle in B-flat major, WoO 60 | "" → "Bagatelle, Para Elisa, Für Elise" | WoO 60 | title: "Bagatelle"
Ludwig van Beethoven | Bagatelle in C major, WoO 56 | "" → "Bagatelle, Para Elisa, Für Elise" | WoO 56 | title: "Bagatelle"
Ludwig van Beethoven | Bagatelle in C minor, WoO 52 | "" → "Bagatelle, Para Elisa, Für Elise" | WoO 52 | title: "Bagatelle"
Ludwig van Beethoven | Bagatelle in F minor | "" → "Bagatelle, Para Elisa, Für Elise" | N/A | title: "Bagatelle"
Ludwig van Beethoven | Bagatelle, WoO 54 | "" → "Bagatelle, Para Elisa, Für Elise" | WoO 54 | title: "Bagatelle"
Ludwig van Beethoven | Bagatelle, WoO 61a | "" → "Bagatelle, Para Elisa, Für Elise" | WoO 61a ; Hess 56 | title: "Bagatelle"
Ludwig van Beethoven | Für Elise, WoO 59 | "" → "Bagatelle, Para Elisa, Für Elise" | WoO 59 | title: "Für Elise" + catalog: "WoO 59"
Ludwig van Beethoven | Piano Sonata No.14, Op.27 No.2 | "" → "Moonlight Sonata, Sonata ao Luar, Sonata Claro de Luna" | Op.27 No.2 | title: "Piano Sonata No.14" + opus: "Op.27"
Ludwig van Beethoven | Symphony No.5, Op.67 | "" → "Sinfonia do Destino, Fate Symphony, Destiny Symphony, Symphony of Fate" | Op.67 | title: "Symphony No.5" + opus: "Op.67"
Ludwig van Beethoven | Symphony No.9, Op.125 | "" → "Coral, Choral, Ode to Joy, Ode à Alegria" | Op.125 | title: "Symphony No.9" + opus: "Op.125"
Maurice Ravel | Boléro, M.81 | "" → "Ravel Boléro, Bolero de Ravel" | M.81 | title: "Boléro" + catalog: "M.81"
Pyotr Tchaikovsky | Swan Lake (ballet), Op.20 | "" → "Ballet, Balé, O Lago dos Cisnes, Lago dos Cisnes" | Op.20 ; TH 12 | title: "Swan Lake" + opus: "Op.20"
Pyotr Tchaikovsky | Swan Lake (suite), Op.20a | "" → "Ballet, Balé, O Lago dos Cisnes, Lago dos Cisnes" | Op.20a ; TH 219 | title: "Swan Lake" + opus: "Op.20"
Pyotr Tchaikovsky | The Nutcracker (ballet), Op.71 | "" → "Ballet, Balé, O Quebra-Nozes, Dança da Fada Açucarada" | Op.71 ; TH 14 | title: "The Nutcracker" + opus: "Op.71"
