Tipo,totalWorks,totalComposers,totalScores,newWorksCount,newComposersCount,totalInstruments,totalUsersWithInstruments,Index,title,composer,favorites,annotations,name,epoch,works,composers,avgUsersPerInstrument
Resumo,207881,19176,361,100,2,79,2,,,,,,,,,,
popularWorks,,,,,,,,1,Vexations,Satie,0,1,,,,,
popularWorks,,,,,,,,2,Vieux sequins et vieilles cuirasses,Satie,0,0,,,,,
popularWorks,,,,,,,,3,3 Véritables préludes flasques (pour un chien),Satie,0,0,,,,,
popularWorks,,,,,,,,4,3 Valses distinguées du précieux dégoûté,Satie,0,0,,,,,
popularWorks,,,,,,,,5,Valse-ballet,Satie,0,0,,,,,
popularWorks,,,,,,,,6,Uspud,Satie,0,0,,,,,
popularWorks,,,,,,,,7,Tendrement,Satie,0,0,,,,,
popularWorks,,,,,,,,8,Sports et divertissements,Satie,0,0,,,,,
popularWorks,,,,,,,,9,3 Sonneries de la Rose+Croix,Satie,0,0,,,,,
popularWorks,,,,,,,,10,Sonnerie pour reveiller le bon gros Roi des Singes,Satie,0,0,,,,,
popularComposers,,,,,,,,1,,,0,,Satie,Romântico,82,,
popularComposers,,,,,,,,2,,,0,,Żołnowski,Contemporâneo,47,,
popularComposers,,,,,,,,3,,,0,,Żukowski,Romântico,16,,
popularComposers,,,,,,,,4,,,0,,Майзель,Romântico,1,,
popularComposers,,,,,,,,5,,,0,,Bingen,Medieval,0,,
popularComposers,,,,,,,,6,,,0,,Щербаков,Contemporâneo,0,,
popularComposers,,,,,,,,7,,,0,,Золотарёв,Modernismo,0,,
popularComposers,,,,,,,,8,,,0,,Żółkowski,Clássico,0,,
popularComposers,,,,,,,,9,,,0,,Żuławski,Romântico,0,,
popularComposers,,,,,,,,10,,,0,,Żmichowska,Clássico,0,,
topEpochs,,,,,,,,1,,,,,Romântico,,86821,10365,
topEpochs,,,,,,,,2,,,,,Contemporâneo,,32757,2626,
topEpochs,,,,,,,,3,,,,,Barroco,,25534,1489,
topEpochs,,,,,,,,4,,,,,Modernismo,,25022,1070,
topEpochs,,,,,,,,5,,,,,Clássico,,22312,2873,
topEpochs,,,,,,,,6,,,,,Renascentista,,15130,704,
topEpochs,,,,,,,,7,,,,,Medieval,,305,49,
instrumentsOverview,,,,,,79,2,,,,,,,,,,0
